HRGcode	HRGdesc	"Cardiac (0=No, 1=Yes, 2=Ambiguous)"	"ProcComplications (0=No, 1=Yes)"	Yr98	Yr00	Yr01	Yr02	Yr03	Yr04	Yr05	Yr06	Yr07	Yr08	Yr09	Yr10	Yr11
A01	Intracranial Procedures Except Trauma - Category 1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A02	Intracranial Procedures Except Trauma - Category 2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A03	Intracranial Procedures Except Trauma - Category 3	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A04	Intracranial Procedures Except Trauma - Category 4	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A05	Intracranial Procedures for Trauma w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A06	Intracranial Procedures for Trauma w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A07	Intermediate Pain Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A08	Percutaneous Image Controlled Pain Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A09	Peripheral Nerve Disorders >69 or w cc	0	0	1	1	1	1									
A09	Peripheral Nerve Disorder w cc	0	0					1	1	1	1	1	1	1	1	1
A10	Peripheral Nerve Disorders <70 w/o cc	0	0	1	1	1	1									
A10	Peripheral Nerve Disorder w/o cc	0	0					1	1	1	1	1	1	1	1	1
A11	Neuromuscular Disorders	0	0	1	1	1	1									
A11	Muscular Disorders	0	0					1	1	1	1	1	1	1	1	1
A12	Disorders of Balance >69 or w cc	0	0	1	1	1	1									
A12	Disorder of Balance aetiology unknown w cc	0	0					1	1	1	1	1	1	1	1	1
A13	Disorders of Balance <70 w/o cc	0	0	1	1	1	1									
A13	Disorder of Balance aetiology unknown w/o cc	0	0					1	1	1	1	1	1	1	1	1
A14	Brain Tumours or Cerebral Cysts >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A15	Brain Tumours or Cerebral Cysts <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A16	Cerebral Degenerations >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A17	Cerebral Degenerations <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A18	Multiple Sclerosis or other CNS Demyelinating Conditions	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A19	Haemorrhagic Cerebrovascular Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A20	Transient Ischaemic Attack >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A21	Transient Ischaemic Attack <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A22	Non-Transient Stroke or Cerebrovascular Accident >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A23	Non-Transient Stroke or Cerebrovascular Accident <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A24	Cranial Nerve Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A25	Nervous System Infections	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A26	Encephalopathy	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A27	Headache or Migraine >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A28	Headache or Migraine <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A29	Epilepsy >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A30	Epilepsy <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A31	Head Injury with Brain Injury	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A32	Head Injury without Significant Brain Injury w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A33	Head Injury without Significant Brain Injury w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A34	Miscellaneous Disorders of Nervous System	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A37	Motor Neuron Disease	0	0					1	1	1	1	1	1	1	1	1
A38	Alzheimers Disease	0	0					1	1	1	1	1	1	1	1	1
A98	Chemotherapy with a Nervous System Primary Diagnosis	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
A99	Complex Elderly with a Nervous System Primary Diagnosis	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
B01	Trabeculectomy	0	0	1	1	1	1									
B02	Phakoemulsification Cataract Extraction with Lens Implant	0	0	1	1	1	1									
B03	Other Cataract Extraction with Lens Implant	0	0	1	1	1	1									
B04	Other Ophthalmic Procedures - Category 1	0	0	1	1	1	1									
B05	Other Ophthalmic Procedures - Category 2	0	0	1	1	1	1									
B06	Other Ophthalmic Procedures - Category 3	0	0	1	1	1	1									
B07	Other Ophthalmic Procedures - Category 4	0	0	1	1	1	1									
B08	Other Ophthalmic Procedures - Category 5	0	0	1	1	1	1									
B09	Other Ophthalmic Procedures - Category 6	0	0	1	1	1	1									
B10	Major Ophthalmic Non-Surgical Admissions	0	0	1	1	1	1									
B11	Intermediate Ophthalmic Non-Surgical Admissions	0	0	1	1	1	1									
B12	Minor Ophthalmic Non-Surgical Admissions	0	0	1	1	1	1									
B13	Phakoemulsification Cataract Extraction and Insertion of Lens	0	0					1	1	1	1	1	1	1	1	1
B14	Non Phakoemulsification Cataract Surgery	0	0					1	1	1	1	1	1	1	1	1
B15	Other Lens Surgery Low Complexity	0	0					1	1	1	1	1	1	1	1	1
B16	Oculoplastic Low Complexity	0	0					1	1	1	1	1	1	1	1	1
B17	Oculoplastic Intermediate Complexity	0	0					1	1	1	1	1	1	1	1	1
B18	Oculoplastic High Complexity	0	0					1	1	1	1	1	1	1	1	1
B19	Orbit / Lacrimal Low Complexity	0	0					1	1	1	1	1	1	1	1	1
B20	Orbit / Lacrimal Intermediate Complexity	0	0					1	1	1	1	1	1	1	1	1
B21	Orbit / Lacrimal High Complexity	0	0					1	1	1	1	1	1	1	1	1
B22	Cornea / Sclera Low Complexity	0	0					1	1	1	1	1	1	1	1	1
B23	Cornea / Sclera Intermediate / High Complexity	0	0					1	1	1	1	1	1	1	1	1
B24	Ocular Motility Intermediate Complexity	0	0					1	1	1	1	1	1	1	1	1
B25	Ocular Motility Redo / Adjustable / High Complexity	0	0					1	1	1	1	1	1	1	1	1
B26	Glaucoma / Uvea Low Complexity	0	0					1	1	1	1	1	1	1	1	1
B27	Glaucoma / Uvea Intermediate Complexity	0	0					1	1	1	1	1	1	1	1	1
B28	Glaucoma / Uvea High Complexity	0	0					1	1	1	1	1	1	1	1	1
B29	Surgical Retina Low Complexity	0	0					1	1	1	1	1	1	1	1	1
B30	Surgical Retina Intermediate Complexity	0	0					1	1	1	1	1	1	1	1	1
B31	Surgical Retina High Complexity	0	0					1	1	1	1	1	1	1	1	1
B32	Non Surgical Ophthalmology with los <2 days	0	0					1	1	1	1	1	1	1	1	1
B33	Non Surgical Ophthalmology with los >1 day	0	0					1	1	1	1	1	1	1	1	1
C01	Ear Procedures - Category 1	0	0	1	1	1	1									
C02	Nose Procedures - Category 1	0	0	1	1	1	1									
C04	Mouth or Throat Procedures - Category 1	0	0	1	1	1	1									
C04	Minor Mouth or Throat Procedures	0	0					1	1	1	1	1	1	1	1	1
C06	Mouth Head Neck or Ear Diagnoses - Category 1 >69 or w cc	0	0	1	1	1										
C06	"Mouth, Head, Neck or Ear Diagnoses - Category 1 >69 or w cc"	0	0				1									
C06	"Minor Medical Head, Neck or Ear Diagnoses >69 or w cc"	0	0					1	1	1	1	1	1	1	1	1
C07	Mouth Head Neck or Ear Diagnoses - Category 1 <70 w/o cc	0	0	1	1	1										
C07	"Mouth, Head, Neck or Ear Diagnoses - Category 1 <70 w/o cc"	0	0				1									
