HRGcode	HRGdesc	"Cardiac (0=No, 1=Yes, 2=Ambiguous)"	"ProcComplications (0=No, 1=Yes)"	Yr09	Yr10	Yr11	Yr12	Yr13	Yr14	Yr15	Yr16
AA02A	INTRACRANIAL PROCEDURES FOR TRAUMA WITH DIAGNOSIS OF INTRACRANIAL INJURY WITH CC	0	0				1	1	1	1	1
AA02B	INTRACRANIAL PROCEDURES FOR TRAUMA WITH DIAGNOSIS OF INTRACRANIAL INJURY WITHOUT CC	0	0					1	1	1	1
AA02Z	INTRACRANIAL PROCEDURES FOR TRAUMA WITH INTERMEDIATE DIAGNOSIS	0	0	1	1	1	1				
AA03A	INTRACRANIAL PROCEDURES FOR TRAUMA WITH DIAGNOSIS OF HEAD INJURY OR SKULL FRACTURE WITH CC	0	0				1	1	1	1	1
AA03B	INTRACRANIAL PROCEDURES FOR TRAUMA WITH DIAGNOSIS OF HEAD INJURY OR SKULL FRACTURE WITHOUT CC	0	0				1	1	1	1	1
AA03Z	INTRACRANIAL PROCEDURES FOR TRAUMA WITH MINOR DIAGNOSIS	0	0	1	1	1	1				
AA04A	"INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH NON TRANSIENT STROKE OR CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY CATEGORY 4 WITH CC"	0	0				1	1	1		
AA04A	"MAJOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH NON TRANSIENT STROKE OR CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY WITH CC"	0	0							1	1
AA04B	"INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH NON TRANSIENT STROKE OR CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY CATEGORY 4 WITHOUT CC"	0	0				1	1	1		
AA04B	"MAJOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH NON TRANSIENT STROKE OR CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY WITHOUT CC"	0	0							1	1
AA04Z	"INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH NON TRANSIENT STROKE OR CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY CATEGORY 4"	0	0	1	1	1	1				
AA05A	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH HAEMORRHAGIC CEREBROVASCULAR DISORDERS CATEGORY 4 WITH CC	0	0				1	1	1		
AA05A	MAJOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH HAEMORRHAGIC CEREBROVASCULAR DISORDERS WITH CC	0	0							1	1
AA05B	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH HAEMORRHAGIC CEREBROVASCULAR DISORDERS CATEGORY 4 WITHOUT CC	0	0				1	1	1		
AA05B	MAJOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH HAEMORRHAGIC CEREBROVASCULAR DISORDERS WITHOUT CC	0	0							1	1
AA05Z	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH HAEMORRHAGIC CEREBROVASCULAR DISORDERS CATEGORY 4	0	0	1	1	1	1				
AA06A	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH BRAIN TUMOURS OR CEREBRAL CYSTS CATEGORY 4 WITH CC	0	0				1	1	1		
AA06A	MAJOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH BRAIN TUMOURS OR CEREBRAL CYSTS WITH CC	0	0							1	1
AA06B	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH BRAIN TUMOURS OR CEREBRAL CYSTS CATEGORY 4 WITHOUT CC	0	0				1	1	1		
AA06B	MAJOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH BRAIN TUMOURS OR CEREBRAL CYSTS WITHOUT CC	0	0							1	1
AA06Z	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH BRAIN TUMOURS OR CEREBRAL CYSTS CATEGORY 4	0	0	1	1	1	1				
AA07A	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM CATEGORY 4 WITH CC	0	0				1	1	1		
AA07A	MAJOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM WITH CC	0	0							1	1
AA07B	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM CATEGORY 4 WITHOUT CC	0	0				1	1	1		
AA07B	MAJOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM WITHOUT CC	0	0							1	1
AA07Z	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM CATEGORY 4	0	0	1	1	1	1				
AA08A	"INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS OR EPILEPSY CATEGORY 4 WITH CC"	0	0				1	1	1		
AA08A	"MAJOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS OR EPILEPSY WITH CC"	0	0							1	1
AA08B	"INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS OR EPILEPSY CATEGORY 4 WITHOUT CC"	0	0					1	1		
AA08B	"MAJOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS OR EPILEPSY WITHOUT CC"	0	0							1	1
AA08Z	"INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS, EPILEPSY OR HEAD INJURY CATEGORY 4"	0	0	1	1	1					
AA08Z	"INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS OR EPILEPSY CATEGORY 4"	0	0				1				
AA09A	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH OTHER DIAGNOSES CATEGORY 4 WITH CC	0	0				1	1	1		
AA09A	MAJOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH OTHER DIAGNOSES WITH CC	0	0							1	1
AA09B	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH OTHER DIAGNOSES CATEGORY 4 WITHOUT CC	0	0					1	1		
AA09B	MAJOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH OTHER DIAGNOSES WITHOUT CC	0	0							1	1
AA09Z	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH OTHER DIAGNOSES CATEGORY 4	0	0	1	1	1	1				
AA10A	"INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH NON TRANSIENT STROKE OR CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY CATEGORY 3 WITH CC"	0	0				1	1	1		
AA10A	"INTERMEDIATE INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH NON TRANSIENT STROKE OR CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY WITH CC"	0	0							1	1
AA10B	"INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH NON TRANSIENT STROKE OR CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY CATEGORY 3 WITHOUT CC"	0	0				1	1	1		
AA10B	"INTERMEDIATE INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH NON TRANSIENT STROKE OR CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY WITHOUT CC"	0	0							1	1
AA10Z	"INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH NON TRANSIENT STROKE OR CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY CATEGORY 3"	0	0	1	1	1	1				
AA11A	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH HAEMORRHAGIC CEREBROVASCULAR DISORDERS CATEGORY 3 WITH CC	0	0				1	1	1		
AA11A	INTERMEDIATE INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH HAEMORRHAGIC CEREBROVASCULAR DISORDERS WITH CC	0	0							1	1
AA11B	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH HAEMORRHAGIC CEREBROVASCULAR DISORDERS CATEGORY 3 WITHOUT CC	0	0				1	1	1		
AA11B	INTERMEDIATE INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH HAEMORRHAGIC CEREBROVASCULAR DISORDERS WITHOUT CC	0	0							1	1
AA11Z	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH HAEMORRHAGIC CEREBROVASCULAR DISORDERS CATEGORY 3	0	0	1	1	1	1				
AA12A	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH BRAIN TUMOURS OR CEREBRAL CYSTS CATEGORY 3 WITH CC	0	0				1	1	1		
AA12A	INTERMEDIATE INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH BRAIN TUMOURS OR CEREBRAL CYSTS WITH CC	0	0							1	1
