HRGcode	HRGdesc	"Cardiac (0=No, 1=Yes, 2=Ambiguous)"	"ProcComplications (0=No, 1=Yes)"	Yr17
AA22C	"CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY WITH CC SCORE 14"	0	0	1
AA22D	"CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY WITH CC SCORE 11 13"	0	0	1
AA22E	"CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY WITH CC SCORE 8 10"	0	0	1
AA22F	"CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY WITH CC SCORE 5 7"	0	0	1
AA22G	"CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY WITH CC SCORE 0 4"	0	0	1
AA23C	HAEMORRHAGIC CEREBROVASCULAR DISORDERS WITH CC SCORE 14+	0	0	1
AA23D	HAEMORRHAGIC CEREBROVASCULAR DISORDERS WITH CC SCORE 10 13	0	0	1
AA23E	HAEMORRHAGIC CEREBROVASCULAR DISORDERS WITH CC SCORE 6 9	0	0	1
AA23F	HAEMORRHAGIC CEREBROVASCULAR DISORDERS WITH CC SCORE 3 5	0	0	1
AA23G	HAEMORRHAGIC CEREBROVASCULAR DISORDERS WITH CC SCORE 0 2	0	0	1
AA24C	BRAIN TUMOURS OR CEREBRAL CYSTS WITH CC SCORE 11	0	0	1
AA24D	BRAIN TUMOURS OR CEREBRAL CYSTS WITH CC SCORE 8 10	0	0	1
AA24E	BRAIN TUMOURS OR CEREBRAL CYSTS WITH CC SCORE 6 7	0	0	1
AA24F	BRAIN TUMOURS OR CEREBRAL CYSTS WITH CC SCORE 4 5	0	0	1
AA24G	BRAIN TUMOURS OR CEREBRAL CYSTS WITH CC SCORE 2 3	0	0	1
AA24H	BRAIN TUMOURS OR CEREBRAL CYSTS WITH CC SCORE 0 1	0	0	1
AA25A	CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM WITH CC	0	0	1
AA25C	CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM WITH CC SCORE 14	0	0	1
AA25D	CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM WITH CC SCORE 11 13	0	0	1
AA25E	CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM WITH CC SCORE 8 10	0	0	1
AA25F	CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM WITH CC SCORE 5 7	0	0	1
AA25G	CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM WITH CC SCORE 0 4	0	0	1
AA26A	"MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS, EPILEPSY OR HEAD INJURY WITH CC"	0	0	1
AA26C	"MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS, EPILEPSY OR HEAD INJURY WITH CC SCORE 15"	0	0	1
AA26D	"MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS, EPILEPSY OR HEAD INJURY WITH CC SCORE 12 14"	0	0	1
AA26E	"MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS, EPILEPSY OR HEAD INJURY WITH CC SCORE 9 11"	0	0	1
AA26F	"MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS, EPILEPSY OR HEAD INJURY WITH CC SCORE 6 8"	0	0	1
AA26G	"MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS, EPILEPSY OR HEAD INJURY WITH CC SCORE 3 5"	0	0	1
AA26H	"MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS, EPILEPSY OR HEAD INJURY WITH CC SCORE 0 2"	0	0	1
AA27Z	MEDICAL CARE OF PATIENTS WITH ALZHEIMER'S DISEASE	0	0	1
AA28C	MOTOR NEURON DISEASE WITH CC SCORE 8+	0	0	1
AA28D	MOTOR NEURON DISEASE WITH CC SCORE 5 7	0	0	1
AA28E	MOTOR NEURON DISEASE WITH CC SCORE 2 4	0	0	1
AA28F	MOTOR NEURON DISEASE WITH CC SCORE 0 1	0	0	1
AA29C	TRANSIENT ISCHAEMIC ATTACK WITH CC SCORE 11+	0	0	1
AA29D	TRANSIENT ISCHAEMIC ATTACK WITH CC SCORE 8 10	0	0	1
AA29E	TRANSIENT ISCHAEMIC ATTACK WITH CC SCORE 5 7	0	0	1
AA29F	TRANSIENT ISCHAEMIC ATTACK WITH CC SCORE 0 4	0	0	1
AA30C	MEDICAL CARE OF PATIENTS WITH MULTIPLE SCLEROSIS WITH CC SCORE 8	0	0	1
AA30D	MEDICAL CARE OF PATIENTS WITH MULTIPLE SCLEROSIS WITH CC SCORE 5 7	0	0	1
AA30E	MEDICAL CARE OF PATIENTS WITH MULTIPLE SCLEROSIS WITH CC SCORE 2 4	0	0	1
AA30F	MEDICAL CARE OF PATIENTS WITH MULTIPLE SCLEROSIS WITH CC SCORE 0 1	0	0	1
AA31C	"HEADACHE, MIGRAINE OR CEREBROSPINAL FLUID LEAK WITH CC SCORE 11"	0	0	1
AA31D	"HEADACHE, MIGRAINE OR CEREBROSPINAL FLUID LEAK WITH CC SCORE 7 10"	0	0	1
AA31E	"HEADACHE, MIGRAINE OR CEREBROSPINAL FLUID LEAK WITH CC SCORE 0 6"	0	0	1
AA32Z	NEUROPSYCHOLOGY TESTS	0	0	1
AA33C	"CONVENTIONAL EEG, EMG OR NERVE CONDUCTION STUDIES 19 YEARS AND OVER"	0	0	1
AA33D	"CONVENTIONAL EEG, EMG OR NERVE CONDUCTION STUDIES 18 YEARS AND UNDER"	0	0	1
AA35A	STROKE WITH CC SCORE 16+	0	0	1
AA35B	STROKE WITH CC SCORE 13 15	0	0	1
AA35C	STROKE WITH CC SCORE 10 12	0	0	1
AA35D	STROKE WITH CC SCORE 7 9	0	0	1
AA35E	STROKE WITH CC SCORE 4 6	0	0	1
AA35F	STROKE WITH CC SCORE 0 3	0	0	1
AA50A	VERY COMPLEX INTRACRANIAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 12	0	0	1
