code	NewDiagnosisGroupRank	NewAllcodesGroup	fUVHflag
010109	1	Hypoplastic left heart syndrome	1
060201	1	Hypoplastic left heart syndrome	1
060202	1	Hypoplastic left heart syndrome	1
060226	1	Hypoplastic left heart syndrome	1
091503	1	Hypoplastic left heart syndrome	1
091506	1	Hypoplastic left heart syndrome	1
010114	2	Functionally univentricular heart	1
010122	2	Functionally univentricular heart	1
010124	2	Functionally univentricular heart	1
010403	2	Functionally univentricular heart	1
010404	2	Functionally univentricular heart	1
010405	2	Functionally univentricular heart	1
020303	2	Functionally univentricular heart	1
020305	2	Functionally univentricular heart	1
060101	2	Functionally univentricular heart	1
060102	2	Functionally univentricular heart	1
060311	2	Functionally univentricular heart	1
060411	2	Functionally univentricular heart	1
060726	2	Functionally univentricular heart	1
070841	2	Functionally univentricular heart	1
070842	2	Functionally univentricular heart	1
090101	3	Common arterial trunk (truncus arteriosus)  	0
090111	3	Common arterial trunk (truncus arteriosus)  	0
090112	3	Common arterial trunk (truncus arteriosus)  	0
090114	3	Common arterial trunk (truncus arteriosus)  	0
090115	3	Common arterial trunk (truncus arteriosus)  	0
090118	3	Common arterial trunk (truncus arteriosus)  	0
090119	3	Common arterial trunk (truncus arteriosus)  	0
090200	3	Common arterial trunk (truncus arteriosus)  	0
090201	3	Common arterial trunk (truncus arteriosus)  	0
090203	3	Common arterial trunk (truncus arteriosus)  	0
090218	3	Common arterial trunk (truncus arteriosus)  	0
090219	3	Common arterial trunk (truncus arteriosus)  	0
010110	4	TGA+VSD/ DORV-TGA type	0
010118	4	TGA+VSD/ DORV-TGA type	0
010501	4	TGA+VSD/ DORV-TGA type	0
092931	5	Interrupted aortic arch	0
092932	5	Interrupted aortic arch	0
092933	5	Interrupted aortic arch	0
092934	5	Interrupted aortic arch	0
010102	6	Transposition of great arteries (concordant AV & discordant VA connections) & IVS	0
010107	7	Pulmonary atresia and IVS	0
010106	8	Pulmonary atresia + VSD (including Fallot type)	0
010125	8	Pulmonary atresia + VSD (including Fallot type)	0
010126	8	Pulmonary atresia + VSD (including Fallot type)	0
010157	8	Pulmonary atresia + VSD (including Fallot type)	0
090511	8	Pulmonary atresia + VSD (including Fallot type)	0
090512	8	Pulmonary atresia + VSD (including Fallot type)	0
090516	8	Pulmonary atresia + VSD (including Fallot type)	0
090705	8	Pulmonary atresia + VSD (including Fallot type)	0
090726	8	Pulmonary atresia + VSD (including Fallot type)	0
090801	8	Pulmonary atresia + VSD (including Fallot type)	0
090902	8	Pulmonary atresia + VSD (including Fallot type)	0
090903	8	Pulmonary atresia + VSD (including Fallot type)	0
090904	8	Pulmonary atresia + VSD (including Fallot type)	0
090905	8	Pulmonary atresia + VSD (including Fallot type)	0
090908	8	Pulmonary atresia + VSD (including Fallot type)	0
090911	8	Pulmonary atresia + VSD (including Fallot type)	0
091010	8	Pulmonary atresia + VSD (including Fallot type)	0
091030	8	Pulmonary atresia + VSD (including Fallot type)	0
091075	8	Pulmonary atresia + VSD (including Fallot type)	0
091077	8	Pulmonary atresia + VSD (including Fallot type)	0
092025	8	Pulmonary atresia + VSD (including Fallot type)	0
010103	9	Misc congenital primary diagnoses	0
010104	9	Misc congenital primary diagnoses	0
010116	9	Misc congenital primary diagnoses	0
010119	9	Misc congenital primary diagnoses	0
010120	9	Misc congenital primary diagnoses	0
010133	9	Misc congenital primary diagnoses	0
010140	9	Misc congenital primary diagnoses	0
010503	9	Misc congenital primary diagnoses	0
020101	9	Misc congenital primary diagnoses	0
040802	9	Misc congenital primary diagnoses	0
040804	9	Misc congenital primary diagnoses	0
040831	9	Misc congenital primary diagnoses	0
040891	9	Misc congenital primary diagnoses	0
050201	9	Misc congenital primary diagnoses	0
090401	9	Misc congenital primary diagnoses	0
090407	9	Misc congenital primary diagnoses	0
090525	9	Misc congenital primary diagnoses	0
091600	9	Misc congenital primary diagnoses	0
091618	9	Misc congenital primary diagnoses	0
094101	9	Misc congenital primary diagnoses	0
094103	9	Misc congenital primary diagnoses	0
094221	9	Misc congenital primary diagnoses	0
100353	9	Misc congenital primary diagnoses	0
150503	9	Misc congenital primary diagnoses	0
050601	10	Atrioventricular septal defect	0
050603	10	Atrioventricular septal defect	0
060501	10	Atrioventricular septal defect	0
060506	10	Atrioventricular septal defect	0
060514	10	Atrioventricular septal defect	0
060525	10	Atrioventricular septal defect	0
060560	10	Atrioventricular septal defect	0
060571	10	Atrioventricular septal defect	0
060572	10	Atrioventricular septal defect	0
060598	10	Atrioventricular septal defect	0
060600	10	Atrioventricular septal defect	0
060601	10	Atrioventricular septal defect	0
060608	10	Atrioventricular septal defect	0
060609	10	Atrioventricular septal defect	0
060610	10	Atrioventricular septal defect	0
060705	10	Atrioventricular septal defect	1
060706	10	Atrioventricular septal defect	1
060727	10	Atrioventricular septal defect	0
060728	10	Atrioventricular septal defect	0
060736	10	Atrioventricular septal defect	0
060737	10	Atrioventricular septal defect	0
060738	10	Atrioventricular septal defect	0
010101	11	Fallot / DORV-Fallot type	0
010117	11	Fallot / DORV-Fallot type	0
091501	12	Aortic valve stenosis (isolated)	0
091512	12	Aortic valve stenosis (isolated)	0
091513	12	Aortic valve stenosis (isolated)	0
091517	12	Aortic valve stenosis (isolated)	0
091521	12	Aortic valve stenosis (isolated)	0
091592	12	Aortic valve stenosis (isolated)	0
060100	13	Tricuspid valve abnormality (including Ebstein's)	0
060103	13	Tricuspid valve abnormality (including Ebstein's)	0
060104	13	Tricuspid valve abnormality (including Ebstein's)	0
060105	13	Tricuspid valve abnormality (including Ebstein's)	0
060107	13	Tricuspid valve abnormality (including Ebstein's)	0
060111	13	Tricuspid valve abnormality (including Ebstein's)	0
060125	13	Tricuspid valve abnormality (including Ebstein's)	0
060126	13	Tricuspid valve abnormality (including Ebstein's)	1
060134	13	Tricuspid valve abnormality (including Ebstein's)	0
060191	13	Tricuspid valve abnormality (including Ebstein's)	0
060192	13	Tricuspid valve abnormality (including Ebstein's)	0
050202	14	"Mitral valve abnormality (including supravalvar, subvalvar)"	0
060200	14	"Mitral valve abnormality (including supravalvar, subvalvar)"	0
060203	14	"Mitral valve abnormality (including supravalvar, subvalvar)"	0
060204	14	"Mitral valve abnormality (including supravalvar, subvalvar)"	0
060205	14	"Mitral valve abnormality (including supravalvar, subvalvar)"	0
060207	14	"Mitral valve abnormality (including supravalvar, subvalvar)"	0
060211	14	"Mitral valve abnormality (including supravalvar, subvalvar)"	0
060212	14	"Mitral valve abnormality (including supravalvar, subvalvar)"	0
060213	14	"Mitral valve abnormality (including supravalvar, subvalvar)"	0
060221	14	"Mitral valve abnormality (including supravalvar, subvalvar)"	0
060222	14	"Mitral valve abnormality (including supravalvar, subvalvar)"	0
060225	14	"Mitral valve abnormality (including supravalvar, subvalvar)"	0
060235	14	"Mitral valve abnormality (including supravalvar, subvalvar)"	0
060236	14	"Mitral valve abnormality (including supravalvar, subvalvar)"	0
060256	14	"Mitral valve abnormality (including supravalvar, subvalvar)"	0
060272	14	"Mitral valve abnormality (including supravalvar, subvalvar)"	0
060291	14	"Mitral valve abnormality (including supravalvar, subvalvar)"	0
060292	14	"Mitral valve abnormality (including supravalvar, subvalvar)"	0
060293	14	"Mitral valve abnormality (including supravalvar, subvalvar)"	0
040600	15	TAPVC	0
040805	15	TAPVC	0
040806	15	TAPVC	0
040807	15	TAPVC	0
040810	15	TAPVC	0
040820	15	TAPVC	0
040830	15	TAPVC	0
092901	16	Aortic arch obstruction +/- VSD/ASD	0
092911	16	Aortic arch obstruction +/- VSD/ASD	0
092944	16	Aortic arch obstruction +/- VSD/ASD	0
070520	17	Pulmonary stenosis (including subvalvar suprvalvar	0
070530	17	Pulmonary stenosis (including subvalvar suprvalvar	0
070532	17	Pulmonary stenosis (including subvalvar suprvalvar	0
090500	17	Pulmonary stenosis (including subvalvar suprvalvar	0
090501	17	Pulmonary stenosis (including subvalvar suprvalvar	0
090504	17	Pulmonary stenosis (including subvalvar suprvalvar	0
090505	17	Pulmonary stenosis (including subvalvar suprvalvar	0
090592	17	Pulmonary stenosis (including subvalvar suprvalvar	0
090711	17	Pulmonary stenosis (including subvalvar suprvalvar	0
090713	17	Pulmonary stenosis (including subvalvar suprvalvar	0
090715	17	Pulmonary stenosis (including subvalvar suprvalvar	0
