NumSpecProc_8_05	Specific Procedure Grouping
21:avsd_partial	Procedure grouping 02
22:mitral_valve_replacement	Procedure grouping 05
25:ross	Procedure grouping 03
26:aortic_root_replacement	Procedure grouping 04
27:aortic_valve_replacement	Procedure grouping 03
28:tricuspid_valve_replacement	Procedure grouping 05
29:pulmonary_valve_replacement	Procedure grouping 02
30:mitral_valve_repair	Procedure grouping 01
31:aortic_valve_repair	Procedure grouping 01
32:tricuspid_valve_repair	Procedure grouping 03
37:rv_pa_conduit	Procedure grouping 03
47:coarctation_hypoplasia	Procedure grouping 04
49:conduit_replacement	Procedure grouping 03
52:sinus_venosus_asd_papvc	Procedure grouping 02
54:asd	Procedure grouping 01
99:unallocated	Procedure grouping 03
