NumSpecProc_8_05	Specific Procedure Grouping
21:avsd_partial	Procedure grouping 01
22:mitral_valve_replacement	Procedure grouping 02
25:ross	Procedure grouping 01
26:aortic_root_replacement	Procedure grouping 01
27:aortic_valve_replacement	Procedure grouping 01
28:tricuspid_valve_replacement	Procedure grouping 02
29:pulmonary_valve_replacement	Procedure grouping 01
30:mitral_valve_repair	Procedure grouping 01
31:aortic_valve_repair	Procedure grouping 01
32:tricuspid_valve_repair	Procedure grouping 01
37:rv_pa_conduit	Procedure grouping 01
47:coarctation_hypoplasia	Procedure grouping 02
49:conduit_replacement	Procedure grouping 02
52:sinus_venosus_asd_papvc	Procedure grouping 01
54:asd	Procedure grouping 01
99:unallocated	Procedure grouping 02
