NumSpecProc_8_05	Specific Procedure Grouping
01:norwood	Procedure grouping 01
hybrid HLHS (mostly 99:unallocated)	Procedure grouping 01
04:common_arterial_trunk_aorta_repair	Procedure grouping 02
05:common_arterial_trunk_repair	Procedure grouping 02
06:cctga_repair_a	Procedure grouping 02
07:cctga_repair_b	Procedure grouping 02
10:transposition_complex	Procedure grouping 02
11:transposition_arch	Procedure grouping 02
14:tapvc_shunt	Procedure grouping 02
46:iaa	Procedure grouping 02
45:arterial_shunt	Procedure grouping 03
12:transposition_vsd	Procedure grouping 04
15:tapvc	Procedure grouping 04
44:pa_band	Procedure grouping 04
55:pda_ligation	Procedure grouping 05
13:transposition	Procedure grouping 06
41:ap_window	Procedure grouping 06
47:coarctation_hypoplasia	Procedure grouping 06
08:atrial_switch	Procedure grouping 07
22:mitral_valve_replacement	Procedure grouping 07
23:ross_konno_a	Procedure grouping 07
24:ross_konno_b	Procedure grouping 07
33:pulmonary_atresia_vsd	Procedure grouping 07
34:mapca_unifocalisation	Procedure grouping 07
35:absent_pulmonary_valve_syndrome	Procedure grouping 07
38:vsd_rvoto	Procedure grouping 07
48:pulmonary_vein_stenosis	Procedure grouping 07
02:heart_transplant	Procedure grouping 08
03:lung_transplant	Procedure grouping 08
26:aortic_root_replacement	Procedure grouping 08
28:tricuspid_valve_replacement	Procedure grouping 08
29:pulmonary_valve_replacement	Procedure grouping 08
31:aortic_valve_repair	Procedure grouping 08
32:tricuspid_valve_repair	Procedure grouping 08
37:rv_pa_conduit	Procedure grouping 08
49:conduit_replacement	Procedure grouping 08
09:rastelli_rev	Procedure grouping 09
18:avsd_fallot_a	Procedure grouping 09
19:avsd_fallot_b	Procedure grouping 09
39:supra_valvar_aortic_stenosis	Procedure grouping 09
43:cor_triatriatum	Procedure grouping 09
50:multiple_vsd	Procedure grouping 09
17:glenn	Procedure grouping 10
42:anomalous_coronary	Procedure grouping 10
57:pacemaker_epicardial	Procedure grouping 10
20:avsd_complete	Procedure grouping 11
16:fontan	Procedure grouping 12
25:ross	Procedure grouping 13
30:mitral_valve_repair	Procedure grouping 13
40:sub_valvar_aortic_stenosis	Procedure grouping 13
52:sinus_venosus_asd_papvc	Procedure grouping 13
00:no_qualifying_codes (tracheal/Tracheobronchial)	Procedure grouping 14
21:avsd_partial	Procedure grouping 14
36:fallot	Procedure grouping 14
53:vascular_ring	Procedure grouping 14
27:aortic_valve_replacement	Procedure grouping 15
51:vsd	Procedure grouping 15
54:asd	Procedure grouping 15
56:arrhythmia_surgical	Procedure grouping 15
81:icd_surgical	Procedure grouping 15
82:pacemaker_crt_bv	Procedure grouping 15
84:pacemaker_lead	Procedure grouping 15
85:ep_miscellaneous	Procedure grouping 15
99:unallocated	Procedure grouping 20
