shortcode,description
010101,010101. Tetralogy of Fallot
010102,010102. Transposition of great arteries (concordant AV & discordant VA connections) & IVS
010103,010103. Congenitally corrected transposition of great arteries (discordant AV & VA connections)
010104,010104. Double outlet right ventricle
010106,010106. Pulmonary atresia + ventricular septal defect (VSD) (including Fallot type)
010107,010107. Pulmonary atresia with intact ventricular septum
010109,010109. Hypoplastic left heart syndrome
010110,010110.Transposition of the great arteries with concordant atrioventricular connections and ventricular septal defect.
010114,010114. Double inlet AV connection (double inlet ventricle)
010116,010116. Partially anomalous pulmonary venous connections: Scimitar syndrome
010117,010117. Double outlet right ventricle: Fallot type (subaortic or doubly committed VSD & pulmonary stenosis)
010118,010118. Double outlet right ventricle: transposition type (subpulmonary VSD)
010119,010119. Double outlet right ventricle with non-committed ventricular septal defect
010120,010120. AV septal defect and Tetralogy of Fallot
010122,010122. Functionally univentricular heart
010124,010124. Double outlet right ventricle: with intact ventricular septum
010125,010125. Pulmonary atresia + ventricular septal defect (VSD) + systemic-to-pulmonary collateral artery(ies) (MAPCA(s))
010126,010126.Tetralogy of Fallot with pulmonary atresia.
010140,"010140. Double outlet right ventricle with subaortic or doubly committed ventricular septal defect without pulmonary stenosis, ventricular septal defect type"
010157,010157.Tetralogy of Fallot with pulmonary atresia and systemic-to-pulmonary collateral artery(ies) (MAPCA(s)).
010309,010309 AV and or/VA connections abnormal 
010403,010403. Double inlet RV
010404,010404. Double inlet LV
010405,010405.Double inlet to solitary ventricle of indeterminate morphology.
010501,010501. Discordant VA connections (TGA)
010503,010503. Double outlet left ventricle
020101,020101.Extrathoracic heart (ectopia cordis).
020303,020303.Crisscross heart (twisted atrioventricular connections).
020305,020305. Solitary ventricle of indeterminate morphology
030104,030104. Right isomerism ('asplenia')  
030105,030105. Left isomerism ('polysplenia')
040600,040600. Totally anomalous pulmonary venous connection: supracardiac
040701,040701. Partially anomalous pulmonary venous connection(s)
040802,040802.Congenital atresia of pulmonary vein(s).
040804,040804.Congenital anomaly of pulmonary vein(s).
040805,040805. Totally anomalous pulmonary venous connection
040806,040806. Obstructed pulmonary venous connection(s)
040807,040807. Anomalous pulmonary venous connection.
040810,040810. Totally anomalous pulmonary venous connection: intracardiac
040820,040820. Totally anomalous pulmonary venous connection: infracardiac
040830,040830. Totally anomalous pulmonary venous connection: mixed
040831,040831.Congenital pulmonary venous stenosis and-or hypoplasia.
040891,040891. Pulmonary vein stenosis
050201,050201. Cor triatriatum (divided left atrium)
050202,050202. Supravalvar mitral ring
050601,050601. Common atrium (virtual absence of atrial septum)
050603,050603.Common atrium with common atrioventricular junction.
060100,060100. Tricuspid valvar abnormality
060101,060101. Triscuspid atresia
060103,060103. Tricuspid valvar dysplasia
060104,060104. Tricuspid annular hypoplasia.
060105,060105. Overriding tricuspid valve.
060107,060107. Congenital tricuspid valvar stenosis.
060111,060111. Congenital anomaly of tricuspid valve.
060125,060125. Tricuspid regurgitation: congenital
060126,060126. Tricuspid atresia with absent valvar annulus (connection-junction).
060134,060134. Ebstein's malformation of tricuspid valve
060191,060191. Tricuspid regurgitation
060192,060192. Tricuspid stenosis
060201,060201. Mitral atresia
060202,060202. Mitral atresia with imperforate mitral valve.
060225,060225. Mitral regurgitation: congenital
060226,060226. Mitral atresia with absent valvar annulus (connection-junction).
