shortcode,description
010102,010102. Transposition of great arteries (concordant AV & discordant VA connections) & IVS
010103,010103. Congenitally corrected transposition of great arteries (discordant AV & VA connections)
010106,010106. Pulmonary atresia + VSD (including Fallot type)
010107,010107. Pulmonary atresia + intact ventricular septum
010109,010109. Hypoplastic left heart syndrome
010110,010110.Transposition of the great arteries with concordant atrioventricular connections and ventricular septal defect.
010114,010114. Double inlet AV connection (double inlet ventricle)
010116,010116. Partially anomalous pulmonary venous connections: Scimitar syndrome
010118,010118. Double outlet right ventricle: transposition type (subpulmonary VSD)
010122,010122. Functionally univentricular heart
010124,010124. Double outlet right ventricle: with intact ventricular septum
010125,010125. Pulmonary atresia + VSD + systemic-to-pulmonary collateral artery(ies) (MAPCA(s))
010126,010126.Tetralogy of Fallot with pulmonary atresia.
010133,"010133. Shone's syndrome: left heart obstruction at multiple sites,"
010157,010157.Tetralogy of Fallot with pulmonary atresia and systemic-to-pulmonary collateral artery(ies) (MAPCA(s)).
010306,010306 Abnormal atrial arrangement
010403,010403. Double inlet RV
010404,010404. Double inlet LV
010405,010405.Double inlet to solitary ventricle of indeterminate morphology.
010501,010501. Discordant VA connections (TGA)
010503,010503. Double outlet left ventricle
020102,020102 Dextrocardia
020303,020303.Crisscross heart (twisted atrioventricular connections).
020305,020305. Solitary ventricle of indeterminate morphology
030104,030104 Right isomerism
030105,030105 left isomerism
030703,030703 spleen absent
040805,040805 TAPVC
050201,050201. Cor triatriatum (divided left atrium)
060101,060101. Tricuspid atresia
060104,060104. Tricuspid annular hypoplasia.
060105,060105. Overriding tricuspid valve.
060107,060107. Congenital tricuspid valvar stenosis.
060111,060111. Congenital anomaly of tricuspid valve.
060126,060126. Tricuspid atresia with absent valvar annulus (connection-junction).
060134,060134. Ebstein's malformation of tricuspid valve
060201,060201. Mitral atresia
060202,060202. Mitral atresia with imperforate mitral valve.
060226,060226. Mitral atresia with absent valvar annulus (connection-junction).
060311,060311.Congenital anomaly of right-sided atrioventricular valve in double inlet ventricle.
060411,060411.Congenital anomaly of left-sided atrioventricular valve in double inlet ventricle.
070841,070841. Functionally univentricular heart
070842,070842. Functionally univentricular heart
090101,090101. Common arterial trunk (truncus arteriosus)
090111,090111. Common arterial trunk (truncus arteriosus) with aortic dominance and one pulmonary artery absent from trunk. isolated pulmonary artery.
090112,090112. Common arterial trunk (truncus arteriosus) with pulmonary dominance and aortic arch obstruction.
090114,090114. Common arterial trunk (truncus arteriosus) with aortic dominance and both pulmonary arteries arising from trunk.
090115,090115. Common arterial trunk (truncus arteriosus) with aortic dominance (no aortic arch obstruction).
090118,090118. Common arterial trunk (truncus arteriosus) with pulmonary dominance and interrupted aortic arch.
090119,090119. Common arterial trunk (truncus arteriosus) with pulmonary dominance and aortic coarctation.
090200,090200. Truncal valvar abnormality
090201,090201.Dysplasia of truncal valve.
090203,090203. Truncal valvar regurgitation
090218,090218.Congenital truncal valvar stenosis.
090219,090219.Congenital truncal valvar regurgitation.
090401,090401. Aortopulmonary window
090407,090407.Congenital aortopulmonary window.
090511,090511. Pulmonary atresia
090512,090512. Pulmonary atresia: imperforate valve
090516,090516.Congenital pulmonary atresia.
090525,090525. Absent pulmonary valve syndrome: Fallot-type
090705,090705. Absent or atretic pulmonary trunk (main pulmonary artery).
090726,090726. Solitary arterial trunk (absent intrapericardial pulmonary arteries)
090801,090801. Major systemic-to-pulmonary collateral artery(ies) (MAPCA(s))
090902,090902.Right pulmonary artery from arterial duct.
090903,090903.Right pulmonary artery from ascending aorta.
090904,090904.Left pulmonary artery from arterial duct.
090905,090905.Left pulmonary artery from ascending aorta.
090908,090908. Pulmonary artery from ascending aorta (hemitruncus)
090911,090911. Pulmonary artery from arterial duct.
091010,091010. Discontinuous (non-confluent) pulmonary arteries
091030,091030.Congenitally discontinuous. non-confluent right and left pulmonary arteries.
091075,091075.Absent or atretic right pulmonary artery.
091077,091077.Absent or atretic left pulmonary artery.
091501,091501 Aortic valvar stenosis  
091503,091503. Aortic atresia
091506,091506. Aortic valvar atresia.
091600,091600. Supravalvar aortic stenosis
091618,091618. Congenital supravalvar aortic stenosis.
092025,092025. Systemic-to-pulmonary collateral arter(ies) (MAPCA(s)) stenosis(es)
092932,092932. Interrupted aortic arch distal to subclavian artery. type A.
092933,092933. Interrupted aortic arch between subclavian & common carotid arteries. type B.
092934,092934. Interrupted aortic arch between carotid arteries. type C.
093134,093134.Vascular ring of left aortic arch and right arterial duct or ligament.
093135,093135.Vascular ring of right aortic arch and left arterial duct or ligament.
094101,094101. Anomalous origin of coronary artery from pulmonary artery
094103,094103. Anomalous origin of left coronary artery from pulmonary artery (ALCAPA).
094221,094221.Anomalous aortic origin of coronary artery with ventriculo-arterial concordance.
120000,120000. Totally anomalous pulmonary venous connection repair
124600,124600. AV valvar procedure in double inlet ventricle. 
