shortcode,description
120400,120400. Atrioventricular septal defect procedure
120401,120401. Atrioventricular septal defect (AVSD): partial (primum ASD) repair
120409,120409. Atrioventricular septal defect (AVSD): partial with isolated ventricular component (VSD) repair
120418,120418. Common atrioventricular valve replacement
120420,120420. Atrioventricular septal defect (AVSD): right atrioventricular valvar procedure
120433,120433. Common atrioventricular valve repair converted to atrioventricular valvar replacement
120440,120440.Atrioventricular septal defect (AVSD): left atrioventricular valvar procedure
120445,120445. Atrioventricular septal defect (AVSD): left atrioventricular valvar replacement
120501,120501. Atrioventricular septal defect (AVSD): complete (common valve orifice) repair
120510,120510. Atrioventricular septal defect (AVSD): 'intermediate' repair
120511,120511. Atrioventricular septal defect (AVSD) & Tetralogy of Fallot repair
120571,120571.Atrioventricular septal defect (AVSD) repair with direct ventricular component closure & patch to atrial component (Nunn/Wilson).
124801,124801. Common atrioventricular valvar leaflet (valvoplasty) procedure
124802,124802. Atrioventricular septal defect (AVSD): suturing together superior + inferior bridging leaflets to left ventricular side of septum ('cleft')
