shortcode,description
120643,120643: Right ventricle to pulmonary artery valveless conduit construction (Japanese modification: 'Sano') as part of Norwood procedure
121000,121000: Norwood type procedure 
122022,122022: Hypoplastic left heart syndrome hybrid approach (transcatheter & surgery) 'stage 2':  aortopulmonary amalgamation + superior cavopulmonary anastomosis(es) + debanding of pulmonary arteries
122023,122023: Hypoplastic left heart syndrome hybrid approach (transcatheter & surgery) 'stage 2':  aortopulmonary amalgamation + superior cavopulmonary anastomosis(es) + debanding of pulmonary arteries + arch repair
123001,123001: Fontan type procedure
123005,123005: Total cavopulmonary connection (TCPC) using extracardiac inferior caval vein (IVC)-pulmonary artery conduit with fenestration
123006,123006: Total cavopulmonary connection (TCPC) with fenestrated lateral atrial tunnel
123013,123013: Fontan procedure with atrioventricular connection
123028,123028: Fontan-type connection without fenestration
123032,123032: Fontan procedure with direct atriopulmonary anastomosis
123050,123050: Total cavopulmonary connection (TCPC)
123051,123051: Total cavopulmonary connection (TCPC) with lateral atrial tunnel
123054,123054: Total cavopulmonary connection (TCPC) using extracardiac inferior caval vein (IVC)-pulmonary artery conduit
123060,123060: Completion of total cavopulmonary connection (TCPC) using transcatheter inferior to superior caval vein covered stent
123092,123092.Total cavopulmonary connection (TCPC) using intra-extracardiac conduit: fenestrated.
123093,123093.Total cavopulmonary connection (TCPC) using intra-extracardiac conduit: nonfenestrated.
123111,123111: Bidirectional superior cavopulmonary (Glenn) anastomosis
123115,123115: Hemi-Fontan procedure
123144,123144: Bilateral bidirectional superior cavopulmonary (Glenn) anastomoses
123145,123145: Unidirectional superior cavopulmonary (Glenn) anastomosis
123172,123172: Superior caval vein to pulmonary artery anastomosis.
