shortcode,description
010102,010102. Transposition of great arteries (concordant AV & discordant VA connections) & IVS
010103,010103. Congenitally corrected transposition of great arteries (discordant AV & VA connections)
010109,010109. Hypoplastic left heart syndrome
010110,010110.Transposition of the great arteries with concordant atrioventricular connections and ventricular septal defect.
010114,010114. Double inlet AV connection (double inlet ventricle)
010116,010116. Partially anomalous pulmonary venous connections: Scimitar syndrome
010117,010117. Double outlet right ventricle: Fallot type (subaortic or doubly committed VSD & pulmonary stenosis)
010118,010118. Double outlet right ventricle: transposition type (subpulmonary VSD)
010120,010120. AV septal defect and Tetralogy of Fallot
010122,010122. Functionally univentricular heart
010124,010124. Double outlet right ventricle: with intact ventricular septum
010133,"010133. Shone's syndrome: left heart obstruction at multiple sites,"
010309,010309 AV and or/VA connections abnormal 
010403,010403. Double inlet RV
010404,010404. Double inlet LV
010405,010405.Double inlet to solitary ventricle of indeterminate morphology.
010501,010501. Discordant VA connections (TGA)
010503,010503. Double outlet left ventricle
020101,020101.Extrathoracic heart (ectopia cordis).
020303,020303.Crisscross heart (twisted atrioventricular connections).
020305,020305. Solitary ventricle of indeterminate morphology
030104,030104. Right isomerism ('asplenia')  
030105,030105. Left isomerism ('polysplenia')
040600,040600. Totally anomalous pulmonary venous connection: supracardiac
040802,040802.Congenital atresia of pulmonary vein(s).
040804,040804.Congenital anomaly of pulmonary vein(s).
040805,040805. Totally anomalous pulmonary venous connection
040806,040806. Obstructed pulmonary venous connection(s)
040807,040807. Anomalous pulmonary venous connection.
040810,040810. Totally anomalous pulmonary venous connection: intracardiac
040820,040820. Totally anomalous pulmonary venous connection: infracardiac
040830,040830. Totally anomalous pulmonary venous connection: mixed
040831,040831.Congenital pulmonary venous stenosis and-or hypoplasia.
050201,050201. Cor triatriatum (divided left atrium)
050202,050202. Supravalvar mitral ring
050601,050601. Common atrium (virtual absence of atrial septum)
050603,050603.Common atrium with common atrioventricular junction.
060134,060134. Ebstein's malformation of tricuspid valve
060201,060201. Mitral atresia
060202,060202. Mitral atresia with imperforate mitral valve.
060203,060203.Dysplasia of mitral valve.
060204,060204. Mitral annular hypoplasia.
060205,060205. Overriding mitral valve.
060207,060207. Mitral valvar stenosis: congenital
060211,060211.Congenital anomaly of mitral valve.
060213,060213. Mitral subvalvar stenosis
060221,060221.Congenital anomaly of mitral subvalvar apparatus.
060222,060222. Congenital mitral subvalvar stenosis.
060226,060226. Mitral atresia with absent valvar annulus (connection-junction).
060256,060256. Parachute malformation of mitral valve
060272,060272. Congenital mitral valvar prolapse.
060292,060292. Mitral stenosis
060293,060293. Mitral valve stenosis
060311,060311.Congenital anomaly of right-sided atrioventricular valve in double inlet ventricle.
060411,060411.Congenital anomaly of left-sided atrioventricular valve in double inlet ventricle.
060501,060501. AVSD AV valvar abnormality
060506,060506. AVSD AV valvar regurgitation
060514,060514.Atypical common atrioventricular valve.
060525,060525. Double orifice of left ventricular component of common atrioventricular valve (left atrioventricular valve).
060560,060560.Common atrioventricular valvar regurgitation.
060571,060571.Atypical right ventricular component of common atrioventricular valve (right atrioventricular valve).
060572,060572.Atypical left ventricular component of common atrioventricular valve (left atrioventricular valve).
060598,060598. Deficient mural-lateral leaflet of left ventricular component of common atrioventricular valve (left atrioventricular vale)
060600,060600. Atrioventricular septal defect
060601,060601. AVSD: isolated atrial component (primum ASD)(partial)
060608,060608. AVSD: isolated ventricular component
060609,060609. AVSD: atrial & ventricular components with common AV orifice (complete)
060610,060610. AVSD: atrial & (restrictive) ventricular components + separate AV valves ('intermediate')
060705,060705. Atrioventricular septal defect (AVSD) with ventricular imbalance with dominant right ventricle and hypoplastic left ventricle.
060706,060706. Atrioventricular septal defect (AVSD) with ventricular imbalance with dominant left ventricle and hypoplastic right ventricle.
060726,060726. AVSD with ventricular imbalance
060727,060727. Atrioventricular septal defect (AVSD) with balanced ventricles.
060728,060728.Common atrioventricular junction with spontaneous fibrous closure of atrioventricular septal defect (AVSD).
060736,060736. Common atrioventricular valve with unbalanced commitment of valve to ventricles.
060737,060737.Common atrioventricular valve with unbalanced commitment of valve to right ventricle.
060738,060738.Common atrioventricular valve with unbalanced commitment of valve to left ventricle.
070700,070700.  Left ventricular hypoplasia 
070841,070841. Functionally univentricular heart
070842,070842. Functionally univentricular heart
090101,090101. Common arterial trunk (truncus arteriosus)
090111,090111. Common arterial trunk (truncus arteriosus) with aortic dominance and one pulmonary artery absent from trunk. isolated pulmonary artery.
090112,090112. Common arterial trunk (truncus arteriosus) with pulmonary dominance and aortic arch obstruction.
090114,090114. Common arterial trunk (truncus arteriosus) with aortic dominance and both pulmonary arteries arising from trunk.
090115,090115. Common arterial trunk (truncus arteriosus) with aortic dominance (no aortic arch obstruction).
