shortcode,description
010104,010104. Double outlet right ventricle
010118,010118. Double outlet right ventricle: transposition type (subpulmonary VSD)
010119,010119. Double outlet right ventricle: with non-committed VSD
071000,071000. VSD
071001,071001. Perimembranous VSD
071002,071002.Inlet perimembranous ventricular septal defect (VSD) without atrioventricular malalignment without a common atrioventricular junction.
071004,071004. Outlet perimembranous ventricular septal defect (VSD) with anteriorly malaligned of outlet septum.
071012,071012. VSD + malaligned outlet septum
071017,071017.Outlet ventricular septal defect (VSD) with anteriorly malaligned outlet septum.
071018,071018.Outlet ventricular septal defect (VSD) with posteriorly malaligned outlet septum.
071019,071019. Outlet perimembranous ventricular septal defect (VSD) with posteriorly malaligned outlet septum.
071101,071101. Muscular VSD
071102,071102.Inlet muscular ventricular septal defect (VSD).
071103,071103.Trabecular muscular ventricular septal defect (VSD) apical.
071104,071104.Trabecular muscular ventricular septal defect (VSD) midseptal.
071105,071105.Trabecular muscular ventricular septal defect (VSD)s multiple (Swiss cheese septum).
071106,071106. Outlet muscular ventricular septal defect (VSD) without malalignment.
071107,071107.Trabecular muscular ventricular septal defect (VSD) anterosuperior.
071112,071112.Trabecular muscular ventricular septal defect (VSD) postero-inferior.
071115,071115. Outlet muscular ventricular septal defect (VSD) with anteriorly malaligned outlet septum.
071116,071116. Outlet muscular ventricular septal defect (VSD) with posteriorly malaligned outlet septum.
071200,071200. Subarterial VSD
071201,071201. Doubly committed subarterial VSD
071202,071202. Doubly committed juxta-arterial ventricular septal defect (VSD) without malalignment and with muscular postero-inferior rim.
071203,071203. Doubly committed juxta-arterial ventricular septal defect (VSD) without malalignment and with perimembranous extension.
071205,071205. Doubly committed juxta-arterial ventricular septal defect (VSD) with anteriorly malaligned fibrous outlet septum and perimembranous extension.
071206,071206. Doubly committed juxta-arterial ventricular septal defect (VSD) with posteriorly malaligned fibrous outlet septum and perimembranous extension.
071207,071207. Doubly committed juxta-arterial ventricular septal defect (VSD) with anteriorly malaligned fibrous outlet septum and muscular postero-inferior rim.
071208,071208. Doubly committed juxta-arterial ventricular septal defect (VSD) with posteriorly malaligned outlet septum and muscular postero-inferior rim.
071209,071209.Outlet ventricular septal defect (VSD) without malalignment.
071212,071212.Doubly committed juxta-arterial ventricular septal defect (VSD) with anteriorly malaligned fibrous outlet septum.
071213,071213.Doubly committed juxta-arterial ventricular septal defect (VSD) with posteriorly malaligned fibrous outlet septum.
071402,071402. Communication between left ventricle + right atrium (Gerbode defect)
071405,071405. Inlet VSD
071406,071406.Inlet perimembranous ventricular septal defect (VSD) with atrioventricular septal malalignment and without common atrioventricular junction.
071504,071504. Multiple VSDs
071505,071505. Single VSD
092901,092901. Aortic coarctation
092911,092911. Aortic arch hypoplasia (tubular)
