shortcode,description
010133,"010133. Shone's syndrome: left heart obstruction at multiple sites,"
050202,050202. Supravalvar or intravalvar mitral ring
060207,060207. Congenital mitral valvar stenosis
060212,060212. Mitral subvalvar apparatus abnormality
060213,060213. Mitral subvalvar stenosis
060256,060256. Parachute malformation of mitral valve
060292,060292. Mitral stenosis
060293,060293. Mitral valve stenosis
070900, 070900. Subaortic stenosis
070903,070903. Subaortic stenosis due to fibromuscular shelf
070916,070916. Subaortic stenosis due to fibromuscular tunnel   
070950,070950. Congenital subaortic stenosis                          
092901,092901. Aortic coarctation
092911,092911. Aortic arch hypoplasia (tubular)
120300,120300 Mitral valvar procedure
120301,120301 Mitral valvotomy
120303,120303 Mitral leaflet (valvoplasty) procedure
120311,"120311 Mitral valvar replacement,"
120319,"120319 Mitral subvalvar apparatus procedure,"
120701,"120701 Subaortic fibromuscular shelf resection,"
120711,"120711 Left ventricular outflow tract myectomy-myotomy,"
120713,120713 Left ventricular outflow tract obstruction relief
120822,"120822 Subaortic obstruction relief,"
121800,121800: Coarctation-hypoplasia of aorta repair
121801,121801: Aortic coarctation-hypoplasia repair by resection & end to end anastomosis
121802,121802: Aortic coarctation-hypoplasia repair by patch aortoplasty
121803,121803: Aortic coarctation-hypoplasia repair by subclavian flap aortoplasty
121804,121804: Balloon dilation of native aortic coarctation-hypoplasia
121810,121810: Aortic coarctation-hypoplasia repair by resection & extended end to end anastomosis
121815,121815: Aortic coarctation-hypoplasia repair by resection & insertion of tube graft
121827,121827: Aortic coarctation transluminal obstruction relief
121830,121830: Aortic arch repair
