description,SpecProcCode
01:norwood,01
04:common_arterial_trunk_aorta_repair,04
05:common_arterial_trunk_repair,05
06:cctga_repair_a,06
07:cctga_repair_b,07
08:atrial_switch,08
09:rastelli_rev,09
10:transposition_complex,10
11:transposition_arch,11
12:transposition_vsd,12
13:transposition,13
14:tapvc_shunt,14
15:tapvc,15
16:fontan,16
17:glenn,17
18:avsd_fallot_a,18
19:avsd_fallot_b,19
20:avsd_complete,20
21:avsd_partial,21
28:tricuspid_valve_replacement,28
29:pulmonary_valve_replacement,29
33:pulmonary_atresia_vsd,33
34:mapca_unifocalisation,34
35:absent_pulmonary_valve_syndrome,35
36:fallot,36
38:vsd_rvoto,38
39:supra_valvar_aortic_stenosis,39
41:ap_window,41
42:anomalous_coronary,42
43:cor_triatriatum,43
45:arterial_shunt,45
46:iaa,46
48:pulmonary_vein_stenosis,48
59:pulmonary_valve_replacement_transluminal,59
60:rvot_stent,60
61:pulmonary_valve_radiofrequency,61
64:pulmonary_vein_intervention,64
69:balloon_pulmonary_valve,69
76:mapca_transluminal,76
