shortcode,description
120017,120017: Scimitar syndrome (partially anomalous pulmonary venous connection) repair
120029,120029:  Systemic venous pathway procedure (post Senning-Mustard)
120107,120107: Patent foramen ovale (PFO) closure with transluminal device
120198,120198: Interatrial communication closure with transluminal device
120401,120401: Atrioventricular septal defect (AVSD): partial (primum ASD) repair
120409,120409: Atrioventricular septal defect (AVSD): partial with isolated ventricular component (VSD) repair
120501,120501: Atrioventricular septal defect (AVSD): complete (common valve orifice) repair
120510,120510: Atrioventricular septal defect (AVSD): 'intermediate' repair
120511,120511: Atrioventricular septal defect (AVSD) & Tetralogy of Fallot repair
120571,120571.Atrioventricular septal defect (AVSD) repair with direct ventricular component closure & patch to atrial component (Nunn/Wilson).
120635,120635: Double chambered right ventricle repair
120719,120719: Left ventricular outflow tract obstruction relief by transcatheter coronary chemical ablation
120738,120738: Partial left ventriculectomy-volume reduction (Batista)
120801,120801: Ventricular septal defect (VSD) closure
120802,120802: Ventricular septal defect (VSD) closure by direct suture
120803,120803: Ventricular septal defect (VSD) closure using patch
120807,120807: Ventricular septal defect (VSD) closure with transluminal device
120816,120816: Closure of multiple ventricular septal defect (VSD)s
120819,120819: Open fenestration of ventricular septal defect (VSD) patch
120820,120820: Transluminal fenestration of ventricular septal defect (VSD) patch
120828,120828: Intraoperative ventricular septal defect (VSD) closure with transluminal device (hybrid approach)
121005,121005. Hypoplastic left heart biventricular repair
121100,121100: Common arterial trunk (truncus) repair
121201,121201: Aortopulmonary window closure                 
121321,121321: Pulmonary valvar replacement (not conduit)
121322,121322: Pulmonary valvar replacement using homograft
121351,121351: Transluminal pulmonary valvar insertion with stent mounted valve
121355,121355: Pulmonary valve repair converted to pulmonary valvar replacement
121381,121381: Transluminal aortic valvar insertion with stent mounted valve
121384,121384: Transapical aortic valve implantation (hybrid approach)
121385,121385: Transluminal pulmonary valvar insertion with stent mounted valve  including prestenting
121386,121386: Transluminal pulmonary valvar prestenting procedure in preparation for valve replacement
121430,121430: Pulmonary artery origin from ascending aorta (hemitruncus) repair
121630,121630: Ross procedure: aortic valve or root replacement with pulmonary autograft & pulmonary valvar replacement
121662,121662: Ross-Konno procedure
121681,121681: Aortic sinus of Valsalva distal fistula closure
121685,121685: Aortic sinus of Valsalva aneurysm repair
121690,121690: Aorto-left ventricular tunnel closure
121732,121732: Pulmonary arterial sling repair
121799,121799: Aortic root replacement of implanted pulmonary autograft & pulmonary valve re-replacement & pulmonary valve re-replacement
122300,122300: Anomalous coronary artery (eg ALCAPA) repair
122342,122342: Transluminal chemical occlusion of coronary artery
122380,122380: Anomalous aortic origin of coronary artery repair
122601,122601: Tetralogy of Fallot repair                           
122613,122613: Tetralogy of Fallot repair with transannular patch
122620,122620: Tetralogy of Fallot repair without transannular patch
122621,122621: Absent pulmonary valve syndrome (Fallot type) repair
122701,122701: Double outlet right ventricle with subaortic or doubly committed ventricular septal defect (VSD) & pulmonary stenosis (Fallot-type) repair
122702,122702: Double outlet right ventricle repair with intraventricular tunnel
122745,122745: REV procedure: intraventricular left ventricle to aorta tunnel with infundibular septum resection & direct right ventricle to pulmonary trunk anastomosis
122750,122750: Double outlet left ventricle repair
122778,122778: Aortic root translocation to over left ventricle (including Nikaidoh)
122801,122801: Pulmonary atresia & ventricular septal defect (VSD) (including Fallot-type) repair
122811,"122811: Pulmonary atresia, ventricular septal defect (VSD) & systemic-to-pulmonary collateral artery(ies) (MAPCA(s)) repair"
122901,122901: Senning procedure (atrial inversion)
122902,122902: Mustard procedure (atrial inversion)
122911,122911: Rastelli procedure: intraventricular left ventricle to aorta tunnel & right ventricle to pulmonary artery conduit
122920,122920: Double outlet right ventricle repair
122921,122921: Arterial switch procedure                                      
122925,122925: Arterial switch & atrial inversion procedures ('double switch')
122926,122926: Atrial inversion and Rastelli procedures
122940,122940: Complex transposition of great arteries repair
122952,122952: Pulmonary venous pathway procedure (post Senning-Mustard)
122979,122979: Atrial inversion procedure (Mustard or Senning) revision
123210,123210: Heart tumour resection
123760,123760: Lung(s) transplant
123825,123825: Transluminal left atrial appendage occlusion with device
