shortcode,description
070520,070520.Congenital right ventricular outflow tract obstruction.
070530, 070530. Subpulmonary stenosis   
070532,070532.Congenital subpulmonary stenosis.
070901,070901. Left ventricular outflow tract obstruction
090501,090501. Pulmonary valvar stenosis
090504,090504. Pulmonary valvar stenosis: congenital   
090505,090505.Pulmonary 'annular' hypoplasia.
090592,090592. Pulmonary stenosis 
090715,090715.Congenital supravalvar pulmonary stenosis.
090716,090716.Congenital anomaly of pulmonary arterial tree.
090719,090719. Congenital pulmonary trunk (main pulmonary artery) anomaly.
090720,090720. Congenital pulmonary trunk hypoplasia.
